step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.8378297090530396,,1.3333333333333333e-05,,5.0,0.02,0.5,,,,
400,0.5367858409881592,,2.6666666666666667e-05,,5.0,0.02,0.5,,,,
600,0.365055114030838,,4e-05,,5.0,0.02,0.5,,,,
800,0.38740020990371704,,5.333333333333333e-05,,5.0,0.02,0.5,,,,
1000,0.4279788136482239,0.7719459354877471,6.666666666666667e-05,,5.0,0.02,0.5,,,,
1200,0.32809486985206604,,8e-05,,5.0,0.02,0.5,,,,
1400,0.28043657541275024,,9.333333333333334e-05,,5.0,0.02,0.5,,,,
1600,0.22210147976875305,,9.999956610162866e-05,,5.0,0.02,0.5,,,,
1800,0.19640961289405823,,9.999609496222017e-05,,5.0,0.02,0.5,,,,
2000,0.1970057189464569,0.3275426641106606,9.998915293706463e-05,,5.0,0.02,0.5,,,,
2200,0.22782590985298157,,9.997874053346641e-05,,5.0,0.02,0.5,,,,
2400,0.19160473346710205,,9.996485851233572e-05,,5.0,0.02,0.5,,,,
2600,0.4187401235103607,,9.994750788813297e-05,,5.0,0.02,0.5,,,,
2800,0.23569026589393616,,9.992668992879474e-05,,5.0,0.02,0.5,,,,
3000,0.20069538056850433,0.1979361891746521,9.990240615564099e-05,,5.0,0.02,0.5,,,,
3200,0.16754257678985596,,9.987465834326395e-05,,5.0,0.02,0.5,,,,
3400,0.11224941909313202,,9.98434485193985e-05,,5.0,0.02,0.5,,,,
3600,0.11654351651668549,,9.980877896477386e-05,,5.0,0.02,0.5,,,,
3800,0.17126883566379547,,9.977065221294701e-05,,5.0,0.02,0.5,,,,
4000,0.20773321390151978,0.15965268909931182,9.972907105011755e-05,,5.0,0.02,0.5,,,,
4200,0.12197799235582352,,9.968403851492401e-05,,5.0,0.02,0.5,,,,
4400,0.11086994409561157,,9.963555789822187e-05,,5.0,0.02,0.5,,,,
4600,0.12567710876464844,,9.958363274284309e-05,,5.0,0.02,0.5,,,,
4800,0.14350450038909912,,9.952826684333709e-05,,5.0,0.02,0.5,,,,
5000,0.12740929424762726,0.14724803268909453,9.94694642456936e-05,,5.0,0.02,0.5,,,,
5200,0.23308199644088745,,9.940722924704692e-05,,5.0,0.02,0.5,,,,
5400,0.1884588748216629,,9.934156639536187e-05,,5.0,0.02,0.5,,,,
5600,0.09867209196090698,,9.927248048910148e-05,,5.0,0.02,0.5,,,,
5800,0.1401553452014923,,9.919997657687633e-05,,5.0,0.02,0.5,,,,
6000,0.09102147817611694,0.12182054296135902,9.912405995707561e-05,,5.0,0.02,0.5,,,,
6200,0.10237396508455276,,9.904473617747991e-05,,5.0,0.02,0.5,,,,
6400,0.1377870738506317,,9.896201103485577e-05,,5.0,0.02,0.5,,,,
6600,0.07282932102680206,,9.88758905745322e-05,,5.0,0.02,0.5,,,,
6800,0.07925084978342056,,9.878638108995874e-05,,5.0,0.02,0.5,,,,
7000,0.0842864066362381,0.10372315421700477,9.869348912224569e-05,,5.0,0.02,0.5,,,,
7200,0.12951886653900146,,9.859722145968595e-05,,5.0,0.02,0.5,,,,
7400,0.14896705746650696,,9.849758513725912e-05,,5.0,0.02,0.5,,,,
7600,0.08490156382322311,,9.839458743611731e-05,,5.0,0.02,0.5,,,,
7800,0.091382697224617,,9.828823588305303e-05,,5.0,0.02,0.5,,,,
8000,0.06790004670619965,0.0926868237555027,9.817853824994923e-05,,5.0,0.02,0.5,,,,
8200,0.06712808459997177,,9.806550255321126e-05,,5.0,0.02,0.5,,,,
8400,0.07671765983104706,,9.794913705318118e-05,,5.0,0.02,0.5,,,,
8600,0.0800163596868515,,9.782945025353395e-05,,5.0,0.02,0.5,,,,
8800,0.12402056157588959,,9.770645090065616e-05,,5.0,0.02,0.5,,,,
9000,0.08287200331687927,0.08260189779102803,9.758014798300676e-05,,5.0,0.02,0.5,,,,
9200,0.11088345944881439,,9.74505507304603e-05,,5.0,0.02,0.5,,,,
9400,0.09711696952581406,,9.731766861363235e-05,,5.0,0.02,0.5,,,,
9600,0.0668148621916771,,9.718151134318743e-05,,5.0,0.02,0.5,,,,
9800,0.06593813747167587,,9.704208886912943e-05,,5.0,0.02,0.5,,,,
10000,0.060536451637744904,0.06772736757993698,9.689941138007448e-05,,5.0,0.02,0.5,,,,
10200,0.1422460973262787,,9.675348930250632e-05,,5.0,0.02,0.5,,,,
10400,0.07149744778871536,,9.660433330001446e-05,,5.0,0.02,0.5,,,,
10600,0.10767237097024918,,9.645195427251484e-05,,5.0,0.02,0.5,,,,
10800,0.08091437071561813,,9.629636335545335e-05,,5.0,0.02,0.5,,,,
11000,0.08776556700468063,0.06953302510082722,9.613757191899203e-05,,5.0,0.02,0.5,,,,
11200,0.09943075478076935,,9.59755915671782e-05,,5.0,0.02,0.5,,,,
11400,0.0838337317109108,,9.581043413709646e-05,,5.0,0.02,0.5,,,,
11600,0.10640357434749603,,9.564211169800367e-05,,5.0,0.02,0.5,,,,
11800,0.06207558140158653,,9.547063655044699e-05,,5.0,0.02,0.5,,,,
12000,0.10673859715461731,0.06991123259067536,9.529602122536491e-05,,5.0,0.02,0.5,,,,
12200,0.08050034195184708,,9.51182784831716e-05,,5.0,0.02,0.5,,,,
12400,0.11221751570701599,,9.49374213128244e-05,,5.0,0.02,0.5,,,,
12600,0.09718204289674759,,9.475346293087458e-05,,5.0,0.02,0.5,,,,
12800,0.06765924394130707,,9.456641678050154e-05,,5.0,0.02,0.5,,,,
13000,0.042295508086681366,0.05735300071537495,9.437629653053043e-05,,5.0,0.02,0.5,,,,
13200,0.11575108766555786,,9.41831160744333e-05,,5.0,0.02,0.5,,,,
13400,0.0567203164100647,,9.398688952931367e-05,,5.0,0.02,0.5,,,,
13600,0.1284630298614502,,9.378763123487505e-05,,5.0,0.02,0.5,,,,
13800,0.1336342841386795,,9.358535575237295e-05,,5.0,0.02,0.5,,,,
14000,0.057366348803043365,0.05001835189759731,9.338007786355078e-05,,5.0,0.02,0.5,,,,
14200,0.08400587737560272,,9.317181256955967e-05,,5.0,0.02,0.5,,,,
14400,0.06897217780351639,,9.296057508986221e-05,,5.0,0.02,0.5,,,,
14600,0.16084040701389313,,9.274638086112025e-05,,5.0,0.02,0.5,,,,
14800,0.07569093257188797,,9.252924553606687e-05,,5.0,0.02,0.5,,,,
15000,0.06660369038581848,0.055506299063563344,9.230918498236244e-05,,5.0,0.02,0.5,,,,
15200,0.044995471835136414,,9.208621528143513e-05,,5.0,0.02,0.5,,,,
15400,0.03881777077913284,,9.186035272730572e-05,,5.0,0.02,0.5,,,,
15600,0.07032343000173569,,9.163161382539679e-05,,5.0,0.02,0.5,,,,
15800,0.08505048602819443,,9.140001529132665e-05,,5.0,0.02,0.5,,,,
16000,0.051048941910266876,0.0463103998452425,9.116557404968779e-05,,5.0,0.02,0.5,,,,
16200,0.07561347633600235,,9.092830723281e-05,,5.0,0.02,0.5,,,,
16400,0.03469836711883545,,9.068823217950851e-05,,5.0,0.02,0.5,,,,
16600,0.10015399754047394,,9.044536643381678e-05,,5.0,0.02,0.5,,,,
16800,0.06427587568759918,,9.019972774370455e-05,,5.0,0.02,0.5,,,,
17000,0.073445625603199,0.04176549836993217,8.995133405978078e-05,,5.0,0.02,0.5,,,,
17200,0.05715673789381981,,8.97002035339819e-05,,5.0,0.02,0.5,,,,
17400,0.052678246051073074,,8.944635451824538e-05,,5.0,0.02,0.5,,,,
17600,0.0475921593606472,,8.918980556316849e-05,,5.0,0.02,0.5,,,,
17800,0.04457200691103935,,8.893057541665275e-05,,5.0,0.02,0.5,,,,
18000,0.04420257359743118,0.05944213755428791,8.866868302253389e-05,,5.0,0.02,0.5,,,,
18200,0.06214115768671036,,8.840414751919749e-05,,5.0,0.02,0.5,,,,
18400,0.06211812049150467,,8.813698823818035e-05,,5.0,0.02,0.5,,,,
18600,0.05005073919892311,,8.786722470275784e-05,,5.0,0.02,0.5,,,,
18800,0.06402060389518738,,8.759487662651716e-05,,5.0,0.02,0.5,,,,
19000,0.06307045370340347,0.044496317952871324,8.731996391191675e-05,,5.0,0.02,0.5,,,,
